RIC,Weight
SMFT3.SA,0.000804633
MGLU3.SA,0.002862247
KBC.BR,0.027916048
ICT.PS,0.006339869
000880.KS,0.001690792
TRELb.ST,0.00879089
3549.T,0.001377545
028300.KQ,0.00375792
6841.T,0.007059184
H.TO,0.013774454
KERVT.IS,0.000139384
AUFI.NS,0.004675967
688289.SH,4.55E-05
323410.KS,0.006601859
FANG.OQ,0.0382752
FPEn.DE,0.001703
DLG.MI,0.002506088
688301.SH,0.000317671
301029.ZK,0.000337564
IVL.BK,0.002660027
GMG.AX,0.039362604
JSMR.JK,0.00084584
300251.ZK,0.000357433
600369.SH,0.000367302
TECH.OQ,0.019487232
BRISA.IS,0.000133325
8964.T,0.002507764
BEIG.DE,0.019710903
1812.HK,0.000184389
COO.N,0.029075621
2201.T,0.001829926
FPE3_p.DE,0.004421347
4307.T,0.018513922
SNPS.OQ,0.107088104
CNVRG.PS,0.000732084
FLT.N,0.02841007
9922.HK,0.00235916
ATO.N,0.026180018
688008.SH,0.001015703
ALKE.NS,0.001676266
2264.T,0.001886428
081660.KS,0.002339077
RECV3.SA,0.001294674
9048.T,0.004696972
GETIb.ST,0.006439782
2811.T,0.002642488
MOH.N,0.026643451
002727.ZK,0.000202463
0270.HK,0.003704266
SISE.IS,0.004003852
RCOP.PA,0.005925261
EVRG.OQ,0.019978776
000977.ZK,0.001021755
TLXGn.DE,0.004836144
ZAIN.KW,0.004982153
PGR.N,0.106630605
REGN.OQ,0.114634336
ENT.L,0.015831995
002624.ZK,0.000261116
601991.SH,0.000313963
5801.T,0.001733412
ENELAM.SN,0.00393473
4666.T,0.00243731
603338.SH,0.000340853
ERST.VI,0.018893211
LLOY.L,0.060014242
ADSK.OQ,0.071072573
9301.T,0.002276963
000050.ZK,0.000317391
601098.SH,0.000303154
ACBr.AT,0.005886309
VAR.OL,0.00178658
POOL.OQ,0.020688096
ELV.N,0.160179234
NTPC.NS,0.016475632
MRL.MC,0.004635719
0268.HK,0.005707166
600012.SH,0.000134738
601898.SH,0.000650818
TSCO.L,0.036185142
9007.T,0.006249517
DINV.DU,0.002136468
GVYM.TA,0.000316171
NOW.N,0.185147086
004020.KS,0.003401635
IFXGn.DE,0.084455118
000063.ZK,0.002534726
KTC.BK,0.002701279
3226.T,0.003333378
002314.ZK,7.60E-05
0669.HK,0.022776082
MRNA.OQ,0.062771197
9513.T,0.003848829
002030.ZK,0.000204362
NTCO3.SA,0.004767245
285130.KS,0.000770986
001914.ZK,0.000235699
4536.T,0.004459688
GILD.OQ,0.148896147
4118.T,0.002619883
IR.N,0.041287241
BAER.S,0.021461058
WHLJ.J,0.005975018
000210.KS,0.000555405
2409.TW,0.006577248
MNDI.L,0.012598193
KSP.I,0.018505347
600919.SH,0.000544724
1910.HK,0.006133674
603707.SH,0.000199046
000563.ZK,0.000232519
PEO.WA,0.006898824
ABC.N,0.047333555
035250.KS,0.00211558
VLO.N,0.063342022
051915.KS,0.003508726
300769.ZK,0.000493167
PHNX.L,0.007956273
2330.SE,0.002418142
1157.HK,0.00120102
002004.ZK,0.000151213
000088.ZK,0.000164758
EMMN.S,0.003238017
IHHH.KL,0.005761594
600392.SH,0.000324516
1504.TW,0.005033011
019170.KS,0.000633816
4202.T,0.00342498
002008.ZK,0.000286867
PG.N,0.535209521
SNOW.N,0.088793435
9901.HK,0.009332205
CANTE.IS,0.000216854
ECO.CN,0.003959653
600584.SH,0.000940003
AKSEN.IS,0.000521808
402340.KS,0.00549298
BFb.N,0.018830719
VICI.N,0.04821139
8454.TW,0.001743162
3319.HK,0.000700537
600039.SH,0.001050694
4324.T,0.010726391
002756.ZK,0.000387173
HDBK.NS,0.092239924
3765.T,0.000947882
BPCL.NS,0.00703108
VNAn.DE,0.023011663
DAL.N,0.011851559
7240.T,0.002544585
6448.T,0.005473459
KKR.N,0.060707638
KANE.NS,0.001183602
600872.SH,0.000401435
000997.ZK,0.000287992
WMB.N,0.06180962
090435.KS,0.000421258
PLUG.OQ,0.010108067
WBA.OQ,0.032251092
VESBE.IS,0.000239436
QAN.AX,0.005903303
6078.HK,0.003083502
6146.T,0.021731602
005940.KS,0.001582613
BSDE.JK,0.001022361
012330.KS,0.017857508
6770.TW,0.004410894
LTFH.NS,0.002031954
OLAG.SI,0.00186668
TBEI.NS,0.006056975
6881.HK,0.002874433
601727.SH,0.000645651
6239.TW,0.003780936
AAL.L,0.055598696
601880.SH,0.000369208
SCC.PS,0.000917214
BH.BK,0.005558197
6755.T,0.001969338
002044.ZK,0.000398399
HLUNa.CO,0.000272622
8001.T,0.079826131
OTEr.AT,0.005172105
TTB.BK,0.003147295
INTP.JK,0.00151293
4661.T,0.055945011
SUTV.NS,0.000930128
HLCB.KL,0.00133408
1878.T,0.009916118
PPL.TO,0.025904202
1128.HK,0.002207246
000555.ZK,0.000100807
3998.HK,0.002371176
AGI.PS,0.001295056
INDT.ST,0.009277235
2809.T,0.002804497
002041.ZK,0.000212217
008930.KS,0.000919124
VWS.CO,0.042958041
3360.HK,0.001515378
BX.N,0.114814133
ACEN.PS,0.001356962
